production_type;ipcc_region;Dairy cattle;Other cattle;Dairy buffalo;Other buffalo;Dairy sheep;Other sheep;Growing swine;Breeding swine;Goats;Horses;Camels;Mules And Asses;Deer;Ostrich;Chicken layer;Chicken broiler;Llamas And Alpacas
High-productivity;Sub-Saharan Africa;250;302;339;339;31;31;54;200;24;238;217;130;120;120;1;0,8;65
High-productivity;East Asia And South-East Asia;485;310;336;336;31;31;56;160;24;238;217;130;120;120;1,4;1;65
High-productivity;North America;650;407;0;0;40;40;61;184;41;377;217;130;120;120;1,4;1,4;65
High-productivity;Latin America And The Caribbean;520;329;315;315;31;31;59;205;24;238;217;130;120;120;1,3;1,2;65
High-productivity;Western Europe;600;405;509;509;40;40;61;190;40;377;217;130;120;120;1,4;1,2;65
High-productivity;Eastern Europe;550;389;467;467;40;40;59;204;36;377;217;130;120;120;1,3;1,1;65
High-productivity;Russian Federation;550;389;467;467;40;40;59;204;36;377;217;130;120;120;1,3;1,1;65
High-productivity;Oceania;488;359;0;0;40;40;41;163;33;377;217;130;120;120;1,3;1,2;65
High-productivity;NENA/Middle East;510;362;381;381;31;31;60;157;24;238;217;130;120;120;1,2;1;65
High-productivity;South Asia;350;167;321;321;31;31;55;162;24;238;217;130;120;120;1,2;1;65
Low-productivity;Sub-Saharan Africa;270;208;339;339;31;31;33;61;24;238;217;130;120;120;0,8;0,7;65
Low-productivity;East Asia And South-East Asia;355;296;336;336;31;31;44;102;24;238;217;130;120;120;1;0,7;65
Low-productivity;North America;650;407;0;0;40;40;61;184;41;377;217;130;120;120;1,4;1,4;65
Low-productivity;Latin America And The Caribbean;500;295;315;315;31;31;47;121;24;238;217;130;120;120;0,9;0,7;65
Low-productivity;Western Europe;600;405;509;509;40;40;61;190;40;377;217;130;120;120;1,4;1,2;65
Low-productivity;Eastern Europe;550;389;467;467;40;40;59;204;36;377;217;130;120;120;1,3;1,1;65
Low-productivity;Russian Federation;550;389;467;467;40;40;59;204;36;377;217;130;120;120;1,3;1,1;65
Low-productivity;Oceania;488;359;0;0;40;40;41;163;33;377;217;130;120;120;1,3;1,2;65
Low-productivity;NENA/Middle East;270;232;381;381;31;31;48;99;24;238;217;130;120;120;0,7;0,5;65
Low-productivity;South Asia;265;236;321;321;31;31;48;99;24;238;217;130;120;120;0,8;0,6;65
Default;Sub-Saharan Africa;260;236;339;339;31;31;33;61;24;238;217;130;120;120;0,9;0,8;65
Default;East Asia And South-East Asia;386;299;336;336;31;31;44;102;24;238;217;130;120;120;1,2;0,8;65
Default;North America;650;407;0;0;40;40;61;184;41;377;217;130;120;120;1,4;1,4;65
Default;Latin America And The Caribbean;508;303;315;315;31;31;47;121;24;238;217;130;120;120;1,1;0,9;65
Default;Western Europe;600;405;509;509;40;40;61;190;40;377;217;130;120;120;1,4;1,2;65
Default;Eastern Europe;550;389;467;467;40;40;59;204;36;377;217;130;120;120;1,3;1,1;65
Default;Russian Federation;550;389;467;467;40;40;59;204;36;377;217;130;120;120;1,3;1,1;65
Default;Oceania;488;359;0;0;40;40;41;163;33;377;217;130;120;120;1,3;1,2;65
Default;NENA/Middle East;349;275;381;381;31;31;48;99;24;238;217;130;120;120;0,9;0,7;65
Default;South Asia;285;226;321;321;31;31;48;99;24;238;217;130;120;120;1;0,8;65
